tau,gamma
0.13279646,0.004853369
0.134610942,0.004797545
0.136450216,0.004740698
0.138314621,0.00468298
0.140204501,0.004624536
0.142120203,0.004565498
0.144062081,0.004505986
0.146030492,0.004446106
0.148025798,0.004385951
0.150048368,0.004325594
0.152098573,0.004265088
0.154176792,0.004204463
0.156283406,0.00414373
0.158418805,0.004082881
0.160583381,0.004021893
0.162777533,0.003960731
0.165001664,0.003899351
0.167256186,0.003837701
0.169541513,0.003775717
0.171858065,0.003713328
0.17420627,0.003650458
0.17658656,0.003587029
0.178999373,0.003522968
0.181445154,0.003458219
0.183924354,0.003392749
0.186437428,0.003326557
0.18898484,0.003259682
0.191567059,0.0031922
0.19418456,0.003124228
0.196837826,0.003055914
0.199527345,0.002987428
0.202253613,0.002918952
0.205017131,0.002850662
0.207818409,0.002782718
0.210657963,0.002715247
0.213536315,0.00264833
0.216453996,0.002582006
0.219411543,0.002516261
0.222409501,0.002451045
0.225448423,0.002386275
0.228528866,0.002321858
0.2316514,0.002257701
0.234816599,0.002193728
0.238025046,0.00212989
0.241277332,0.002066174
0.244574056,0.002002604
0.247915825,0.001939237
0.251303255,0.001876163
0.25473697,0.001813489
0.258217601,0.001751337
0.261745791,0.00168983
0.265322188,0.001629082
0.268947452,0.001569197
0.272622251,0.001510259
0.27634726,0.001452332
0.280123167,0.001395463
0.283950666,0.001339683
0.287830463,0.001285011
0.291763271,0.001231458
0.295749817,0.001179033
0.299790833,0.001127743
0.303887063,0.001077592
0.308039264,0.001028586
0.312248198,0.00098073
0.316514642,0.00093403
0.32083938,0.000888488
0.325223211,0.000844109
0.32966694,0.000800893
0.334171387,0.00075884
0.338737381,0.00071795
0.343365763,0.000678217
0.348057386,0.000639639
0.352813113,0.000602208
0.357633821,0.000565921
0.362520397,0.000530774
0.367473741,0.000496767
0.372494766,0.000463904
0.377584396,0.00043219
0.38274357,0.000401634
0.387973236,0.000372247
0.393274359,0.000344038
0.398647914,0.000317012
0.404094891,0.000291174
0.409616294,0.000266522
0.415213139,0.000243049
0.420886458,0.000220748
0.426637294,0.000199608
0.432466708,0.000179615
0.438375773,0.00016076
0.444365577,0.000143035
0.450437224,0.000126433
0.456591831,0.000110955
0.462830533,9.66E-05
0.469154478,8.34E-05
0.475564831,7.13E-05
0.482062772,6.03E-05
0.488649499,5.05E-05
0.495326225,4.18E-05
0.502094179,3.42E-05
0.508954608,2.76E-05
0.515908775,2.20E-05
0.522957961,1.74E-05
0.530103465,1.36E-05
0.537346602,1.07E-05
0.544688707,8.50E-06
0.552131132,6.97E-06
0.559675247,6.06E-06
0.567322442,5.75E-06
0.575074126,6.00E-06
0.582931726,6.81E-06
0.590896689,8.18E-06
0.598970482,1.01E-05
0.607154593,1.27E-05
0.615450528,1.60E-05
0.623859816,1.99E-05
0.632384006,2.45E-05
0.641024666,2.99E-05
0.64978339,3.60E-05
0.658661789,4.29E-05
0.6676615,5.06E-05
0.676784179,5.91E-05
0.686031507,6.83E-05
0.695405188,7.84E-05
0.704906947,8.91E-05
0.714538534,0.000100647
0.724301724,0.000112895
0.734198314,0.000125871
0.744230128,0.000139572
0.754399012,0.000153997
0.764706841,0.00016915
0.775155512,0.000185038
0.78574695,0.000201668
0.796483105,0.000219047
0.807365955,0.000237179
0.818397504,0.000256066
0.829579784,0.000275701
0.840914855,0.000296073
0.852404804,0.000317161
0.864051747,0.000338941
0.87585783,0.000361379
0.887825227,0.000384441
0.899956142,0.000408089
0.912252809,0.00043229
0.924717494,0.000457012
0.937352491,0.00048223
0.950160128,0.000507925
0.963142764,0.000534089
0.97630279,0.00056072
0.989642629,0.000587821
1.003164739,0.0006154
1.016871611,0.000643463
1.030765768,0.000672011
1.044849769,0.000701035
1.059126209,0.000730512
1.073597717,0.000760404
1.088266959,0.000790656
1.103136635,0.0008212
1.118209485,0.000851957
1.133488285,0.000882842
1.148975849,0.000913772
1.164675029,0.000944671
1.180588718,0.000975474
1.196719844,0.001006136
1.213071381,0.001036627
1.229646339,0.00106694
1.246447771,0.001097084
1.263478771,0.001127081
1.280742477,0.001156961
1.298242067,0.00118675
1.315980766,0.00121647
1.33396184,0.001246128
1.3521886,0.001275712
1.370664404,0.001305191
1.389392654,0.001334517
1.408376801,0.001363626
1.427620339,0.001392444
1.447126815,0.001420891
1.466899819,0.001448891
1.486942995,0.001476371
1.507260033,0.001503269
1.527854676,0.001529536
1.548730716,0.001555134
1.569891998,0.001580041
1.591342421,0.001604245
1.613085934,0.001627744
1.635126543,0.001650539
1.657468306,0.001672635
1.680115338,0.001694033
1.703071812,0.001714731
1.726341954,0.00173472
1.749930051,0.001753982
1.773840447,0.001772494
1.798077545,0.001790227
1.82264581,0.001807143
1.847549767,0.0018232
1.872794003,0.001838348
1.898383166,0.001852531
1.92432197,0.001865686
1.950615193,0.00187775
1.977267676,0.00188866
2.004284329,0.001898356
2.031670127,0.001906794
2.059430115,0.001913945
2.087569405,0.001919802
2.11609318,0.001924384
2.145006693,0.001927735
2.174315269,0.001929928
2.204024308,0.001931055
2.234139279,0.001931222
2.26466573,0.001930538
2.295609284,0.001929105
2.326975638,0.001926998
2.358770571,0.001924257
2.390999938,0.001920874
2.423669675,0.001916792
2.4567858,0.001911902
2.49035441,0.001906059
2.52438169,0.001899088
2.558873906,0.001890811
2.593837411,0.001881059
2.629278644,0.001869699
2.665204134,0.001856644
2.701620495,0.001841863
2.738534437,0.001825388
2.775952756,0.001807305
2.813882346,0.00178775
2.852330192,0.001766888
2.891303375,0.001744901
2.930809073,0.001721963
2.970854562,0.001698226
3.011447218,0.001673808
3.052594517,0.001648781
3.094304037,0.001623169
3.136583461,0.001596958
3.179440575,0.0015701
3.222883273,0.001542529
3.266919556,0.001514175
3.311557534,0.001484974
3.356805429,0.001454881
3.402671575,0.001423877
3.449164418,0.00139197
3.496292523,0.001359195
3.544064568,0.001325614
3.592489353,0.001291304
3.641575796,0.001256358
3.691332939,0.00122087
3.741769944,0.001184934
3.792896102,0.001148635
3.844720829,0.001112049
3.89725367,0.001075236
3.9505043,0.001038247
4.004482527,0.00100112
4.059198292,0.000963889
4.114661674,0.000926585
4.170882886,0.000889239
4.227872284,0.000851882
4.285640364,0.00081455
4.344197766,0.000777281
4.403555275,0.000740115
4.463723822,0.000703094
4.524714491,0.000666263
4.586538513,0.000629671
4.649207276,0.000593374
4.712732321,0.000557431
4.777125349,0.000521915
4.84239822,0.000486907
4.908562955,0.000452496
4.97563174,0.000418787
5.043616929,0.000385889
5.112531041,0.000353921
5.182386771,0.000323003
5.253196984,0.000293257
5.324974721,0.0002648
5.397733202,0.000237738
5.471485828,0.000212168
5.546246183,0.000188171
5.622028036,0.000165812
5.698845344,0.000145142
5.776712255,0.000126199
5.855643111,0.000109011
5.935652448,9.36E-05
6.016755004,8.00E-05
6.098965715,6.82E-05
6.182299722,5.83E-05
6.266772375,5.03E-05
6.352399231,4.43E-05
6.43919606,4.03E-05
6.527178849,3.84E-05
6.616363802,3.87E-05
6.706767345,4.14E-05
6.798406129,4.64E-05
6.891297031,5.40E-05
6.98545716,6.42E-05
7.080903859,7.71E-05
7.177654705,9.28E-05
7.275727519,0.000111514
7.375140364,0.000133212
7.475911549,0.00015802
7.578059634,0.000186025
7.681603433,0.000217316
7.786562016,0.000251982
7.892954714,0.000290113
8.000801123,0.000331804
8.110121105,0.000377149
8.220934794,0.000426247
8.333262601,0.000479199
8.447125213,0.000536105
8.562543602,0.000597069
8.679539025,0.000662192
8.79813303,0.000731572
8.91834746,0.0008053
9.040204455,0.000883453
9.163726459,0.000966092
9.288936221,0.001053253
9.415856804,0.001144945
9.544511582,0.001241146
9.674924252,0.001341808
9.807118832,0.001446859
9.941119669,0.001556211
