tau,gamma
34872593.78,80.5747116
34003048.27,79.46451436
35724701.62,77.24050457
35712312.47,75.85162824
37525715.87,74.18316899
37504896.06,71.96096685
39414791.56,70.84805813
40400302.16,69.73605324
41398964.89,67.51294728
41384607.93,66.12407094
43483023.16,64.17783643
44567162.3,62.78805627
44548616.13,61.12140466
44530077.68,59.45475306
45637156.47,57.78719763
46778248.43,56.67519274
47947871.75,55.56318785
47927918.74,53.89653624
47914621.34,52.78543518
50344142.26,50.83920066
50323192.07,49.17254906
49064983.24,47.78457654
51563563.45,46.67166783
54181863.27,45.00320858
54166830.74,43.89210751
54144289.77,42.2254559
55490391.06,40.55790048
56866013.28,38.61256978
56846292.42,37.22369345
56822636.42,35.55704184
59707981.98,33.88858259
59678994.97,31.94415572
59658298.59,30.55527939
61137244.39,28.60994869
62657200.12,26.94239327
65838813.74,25.27393401
65815981.16,23.88505768
69148397.22,21.66104789
69124416.89,20.27217156
70838030.4,18.32684086
72609234.24,17.21483597
74414399.36,15.54728054
76275025.19,14.43527565
80153686.26,13.04459167
80120331.13,11.37794006
82123625.64,10.26593517
82106536.41,9.43260937
86293707.38,8.597475921
86275750.39,7.764150119
88426817.9,6.374369959
90637804.25,5.262365067
90612657.18,4.151263998
92852528.63,1.928158037
92813889.01,0.261506434
95121369.56,-1.406048993
